China,India,USA,Germany,Netherlands,Iran,Hong Kong,Taiwan,Sri Lanka,Czech Republic,Malaysia,Japan,Serbia,Spain,Brazil,Nigeria,South Africa,Tunisia,Turkey,Greece,Italy,France,Iraq,South Korea,Pakistan,Israel,Peru,Colombia,Viet Nam,Australia,Sweden,Belgium,Nepal,Philippines,Finland,Thailand
-29653,-29723,-29719,-29654,-29752,-235,-29763,-29772,-29775,-29628,-29353,-29775,-3694,-29654,-29775,-1024,-29775,-363,-29704,-29775,-278,-29754,64,-29754,-29708,-29742,-29728,-29654,-1283,-434,-29758,-682,-29683,-229,-29678,-162
29670,29798,29782,28126,29826,-29156,29861,29852,29835,29604,27389,29843,-22238,29662,29851,-27578,29839,-28900,29764,29833,-29070,29860,-29754,29882,29780,29820,29802,29660,-27060,-28758,29859,-28262,29728,-29168,29716,-29302
29618,29746,29730,28104,29744,-29110,29779,29758,29749,29552,27337,29761,-22192,29610,29757,-27532,29757,-28854,29708,29751,-29024,29778,-29708,29780,29836,29768,29750,29608,-27014,-28712,29773,-28216,29676,-29122,29664,-29256
29676,29789,29792,28146,29800,-29144,29819,29798,29789,29638,27399,29801,-22226,29684,29797,-27566,29813,-28888,29766,29819,-29058,29834,-29742,29820,29768,29870,29836,29666,-27048,-28746,29813,-28250,29734,-29156,29722,-29290
29688,29798,29801,28158,29809,-29130,29801,29786,29771,29650,27409,29783,-22212,29696,29779,-27552,29795,-28874,29763,29801,-29044,29816,-29728,29802,29750,29836,29856,29678,-27034,-28732,29795,-28236,29746,-29142,29709,-29276
29768,29697,29687,28224,29656,-29056,29659,29644,29631,29618,27487,29649,-22138,29760,29637,-27478,29637,-28800,29708,29631,-28970,29658,-29654,29660,29608,29666,29678,29782,-26960,-28658,29653,-28162,29709,-29068,29654,-29202
-26959,-27029,-27025,-26960,-27058,-685,-27069,-27078,-27081,-26934,-26659,-27081,-1178,-26960,-27081,93,-27081,-472,-27010,-27081,-599,-27060,-1283,-27060,-27014,-27048,-27034,-26960,1411,-389,-27064,-121,-26989,-697,-26984,-831
-28657,-28727,-28723,-28658,-28756,-19,-28767,-28776,-28779,-28632,-28357,-28779,-2698,-28658,-28779,-169,-28779,60,-28708,-28779,18,-28758,-434,-28758,-28712,-28746,-28732,-28658,-389,562,-28762,194,-28687,-17,-28682,-67
29663,29791,29775,28117,29831,-29160,29866,29849,29836,29597,27382,29848,-22242,29655,29848,-27582,29844,-28904,29753,29838,-29074,29853,-29758,29859,29773,29813,29795,29653,-27064,-28762,29886,-28266,29721,-29172,29709,-29306
-28161,-28231,-28227,-28162,-28260,-162,-28271,-28280,-28283,-28136,-27861,-28283,-2202,-28162,-28283,55,-28283,-43,-28212,-28283,-130,-28262,-682,-28262,-28216,-28250,-28236,-28162,-121,194,-28266,810,-28191,-191,-28186,-255
29722,29742,29729,28175,29724,-29085,29727,29712,29697,29569,27468,29709,-22167,29711,29705,-27507,29705,-28829,29776,29699,-28999,29726,-29683,29728,29676,29734,29746,29709,-26989,-28687,29721,-28191,29811,-29097,29752,-29231
-29067,-29137,-29133,-29068,-29166,246,-29177,-29186,-29189,-29042,-28767,-29189,-3108,-29068,-29189,-456,-29189,7,-29118,-29189,290,-29168,-229,-29168,-29122,-29156,-29142,-29068,-697,-17,-29172,-191,-29097,357,-29092,7
29667,29687,29674,28126,29684,-29080,29715,29696,29685,29514,27473,29697,-22162,29656,29693,-27502,29693,-28824,29754,29687,-28994,29714,-29678,29716,29664,29722,29709,29654,-26984,-28682,29709,-28186,29752,-29092,29806,-29226
-29201,-29271,-29267,-29202,-29300,15,-29311,-29320,-29323,-29176,-28901,-29323,-3242,-29202,-29323,-572,-29323,-26,-29252,-29323,-3,-29302,-162,-29302,-29256,-29290,-29276,-29202,-831,-67,-29306,-255,-29231,7,-29226,290
